x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
   28.000000,       0.000003,       0.000007,      -0.000360,      -0.005061,      -0.089221,      -1.525624,      -2.718941,      -2.792541,      -2.796943,      -2.797417,      -2.797502,
   28.500000,       0.000003,       0.000008,      -0.000295,      -0.004044,      -0.068071,      -1.297154,      -2.695409,      -2.791666,      -2.797261,      -2.797786,      -2.797917,
   29.000000,       0.000003,       0.000009,      -0.000240,      -0.003243,      -0.052179,      -1.072277,      -2.664446,      -2.790380,      -2.797526,      -2.798161,      -2.798289,
   29.500000,       0.000003,       0.000010,      -0.000200,      -0.002612,      -0.040196,      -0.863283,      -2.623880,      -2.788606,      -2.797751,      -2.798556,      -2.798659,
   30.000000,       0.000003,       0.000009,      -0.000164,      -0.002110,      -0.031109,      -0.679426,      -2.570961,      -2.786221,      -2.797895,      -2.798881,      -2.799042,
   30.500000,       0.000003,       0.000009,      -0.000131,      -0.001708,      -0.024197,      -0.525279,      -2.502484,      -2.783047,      -2.797977,      -2.799206,      -2.799381,
   31.000000,       0.000003,       0.000009,      -0.000106,      -0.001385,      -0.018899,      -0.401088,      -2.414759,      -2.778788,      -2.797949,      -2.799487,      -2.799719,
   31.500000,       0.000003,       0.000009,      -0.000085,      -0.001129,      -0.014833,      -0.303986,      -2.304078,      -2.773181,      -2.797787,      -2.799718,      -2.800039,
   32.000000,       0.000003,       0.000010,      -0.000068,      -0.000914,      -0.011689,      -0.229634,      -2.167219,      -2.765765,      -2.797539,      -2.799953,      -2.800304,
   32.500000,       0.000003,       0.000010,      -0.000053,      -0.000744,      -0.009253,      -0.173445,      -2.002498,      -2.756028,      -2.797174,      -2.800104,      -2.800535,
   33.000000,       0.000003,       0.000010,      -0.000043,      -0.000606,      -0.007347,      -0.131259,      -1.811109,      -2.743266,      -2.796613,      -2.800216,      -2.800756,
   33.500000,       0.000003,       0.000010,      -0.000032,      -0.000493,      -0.005857,      -0.099658,      -1.597919,      -2.726457,      -2.795891,      -2.800308,      -2.800924,
   34.000000,       0.000003,       0.000010,      -0.000025,      -0.000402,      -0.004683,      -0.075991,      -1.371977,      -2.704441,      -2.794844,      -2.800380,      -2.801087,
   34.500000,       0.000003,       0.000010,      -0.000019,      -0.000332,      -0.003759,      -0.058207,      -1.145331,      -2.675610,      -2.793479,      -2.800426,      -2.801201,
   35.000000,       0.000003,       0.000010,      -0.000015,      -0.000273,      -0.003026,      -0.044797,      -0.930609,      -2.637920,      -2.791651,      -2.800431,      -2.801332,
   35.500000,       0.000003,       0.000010,      -0.000009,      -0.000224,      -0.002444,      -0.034649,      -0.738184,      -2.588825,      -2.789231,      -2.800357,      -2.801455,
   36.000000,       0.000003,       0.000010,      -0.000004,      -0.000185,      -0.001978,      -0.026918,      -0.574237,      -2.525309,      -2.786092,      -2.800268,      -2.801569,
   36.500000,       0.000003,       0.000010,       0.000001,      -0.000147,      -0.001602,      -0.021011,      -0.440409,      -2.443855,      -2.781948,      -2.800128,      -2.801677,
   37.000000,       0.000003,       0.000010,       0.000003,      -0.000121,      -0.001306,      -0.016469,      -0.334713,      -2.340693,      -2.776575,      -2.799898,      -2.801730,
   37.500000,       0.000003,       0.000010,       0.000005,      -0.000097,      -0.001056,      -0.012967,      -0.253191,      -2.212362,      -2.769530,      -2.799569,      -2.801775,
   38.000000,       0.000003,       0.000010,       0.000007,      -0.000079,      -0.000861,      -0.010254,      -0.191317,      -2.056676,      -2.760372,      -2.799100,      -2.801840,
   38.500000,       0.000003,       0.000010,       0.000009,      -0.000063,      -0.000700,      -0.008133,      -0.144739,      -1.873708,      -2.748404,      -2.798487,      -2.801874,
   39.000000,       0.000003,       0.000010,       0.000010,      -0.000050,      -0.000570,      -0.006478,      -0.109829,      -1.667045,      -2.732736,      -2.797690,      -2.801893,
   39.500000,       0.000003,       0.000010,       0.000011,      -0.000039,      -0.000466,      -0.005175,      -0.083655,      -1.444459,      -2.712272,      -2.796611,      -2.801902,
   40.000000,       0.000003,       0.000010,       0.000013,      -0.000028,      -0.000383,      -0.004152,      -0.064000,      -1.217088,      -2.685535,      -2.795223,      -2.801861,
   40.500000,       0.000003,       0.000010,       0.000013,      -0.000021,      -0.000314,      -0.003335,      -0.049198,      -0.997651,      -2.650646,      -2.793425,      -2.801781,
   41.000000,       0.000003,       0.000010,       0.000013,      -0.000013,      -0.000256,      -0.002692,      -0.037996,      -0.797473,      -2.605250,      -2.791094,      -2.801673,
